id,region,year,pov
1,África,1984,46.859150224489795
1,África,1985,46.586075693877554
1,África,1986,46.512129693877554
1,África,1987,46.66735648979592
1,África,1988,46.41846063265306
1,África,1989,46.416783918367344
1,África,1990,47.2996283877551
1,África,1991,47.887124224489796
1,África,1992,49.43757969387755
1,África,1993,50.329772285714284
1,África,1994,50.522187836734695
1,África,1995,49.50732124489796
1,África,1996,48.2368353877551
1,África,1997,47.19045714285714
1,África,1998,46.927091924489794
1,África,1999,46.004758046938775
1,África,2000,45.42820357142857
1,África,2001,45.13001343673469
1,África,2002,44.726320808163265
1,África,2003,44.52578301020408
1,África,2004,43.25353947755102
1,África,2005,42.33425724285714
1,África,2006,41.54776890612245
1,África,2007,40.565257593877554
1,África,2008,39.432913255102044
1,África,2009,39.493442997959185
1,África,2010,37.857033814285714
1,África,2011,36.402151446938774
1,África,2012,34.60402078367347
1,África,2013,34.126079957142856
1,África,2014,33.29873998163265
1,África,2015,33.43020203061224
1,África,2016,33.204890636734696
1,África,2017,32.83923441836735
1,África,2018,32.3556759122449
1,África,2019,31.99446566734694
2,América,1984,17.831748345833333
2,América,1985,17.567526666666666
2,América,1986,16.874407775
2,América,1987,17.104255158333334
2,América,1988,17.6374679
2,América,1989,17.598961550000002
2,América,1990,17.8232477875
2,América,1991,16.8743678125
2,América,1992,16.116782716666666
2,América,1993,15.872393395833333
2,América,1994,15.384178737500001
2,América,1995,15.356330291666666
2,América,1996,15.247267879166667
2,América,1997,14.994428795833333
2,América,1998,14.089754095833333
2,América,1999,14.135281433333333
2,América,2000,13.632112695833333
2,América,2001,14.157566025
2,América,2002,13.1557692625
2,América,2003,12.380372408333333
2,América,2004,11.314030508333333
2,América,2005,11.2021849
2,América,2006,9.8647772125
2,América,2007,8.9757343625
2,América,2008,8.942819554166666
2,América,2009,8.105944616666667
2,América,2010,7.830388208333333
2,América,2011,7.577871970833333
2,América,2012,6.1966116583333335
2,América,2013,5.501122954166667
2,América,2014,5.251297908333333
2,América,2015,5.183859033333333
2,América,2016,5.0348258800000005
2,América,2017,4.858028089583334
2,América,2018,4.73683823125
2,América,2019,4.0151168047826085
3,Asia,1984,22.43219695027027
3,Asia,1985,21.851536675675675
3,Asia,1986,21.440993051351352
3,Asia,1987,21.002057563783783
3,Asia,1988,20.151169647567567
3,Asia,1989,20.279413905405406
3,Asia,1990,19.11494267027027
3,Asia,1991,20.69762397027027
3,Asia,1992,20.158344981081083
3,Asia,1993,20.220220916216217
3,Asia,1994,21.394839594594593
3,Asia,1995,20.004626406756756
3,Asia,1996,19.86459049864865
3,Asia,1997,19.42993825
3,Asia,1998,19.029406890540542
3,Asia,1999,18.361293506756756
3,Asia,2000,17.69430550135135
3,Asia,2001,17.172715158108108
3,Asia,2002,15.40000256891892
3,Asia,2003,14.453017604054054
3,Asia,2004,12.093532374324324
3,Asia,2005,10.804691052675675
3,Asia,2006,10.12006222972973
3,Asia,2007,8.562259467297297
3,Asia,2008,7.453485810621622
3,Asia,2009,6.510571467567567
3,Asia,2010,5.353220624594594
3,Asia,2011,4.92369627472973
3,Asia,2012,4.305129678351351
3,Asia,2013,3.794234774054054
3,Asia,2014,3.5237014786216214
3,Asia,2015,3.9032938505405403
3,Asia,2016,4.007620164054054
3,Asia,2017,4.219800787756757
3,Asia,2018,4.1875591634594596
3,Asia,2019,4.043210952540541
4,Europa,1984,0.4454527252631579
4,Europa,1985,0.4382873312820513
4,Europa,1986,0.4180675964102564
4,Europa,1987,0.43149946564102565
4,Europa,1988,0.4193018401794872
4,Europa,1989,0.38496331307692305
4,Europa,1990,0.5454301079487179
4,Europa,1991,0.8316870441025641
4,Europa,1992,1.3920594228205128
4,Europa,1993,2.101799056410256
4,Europa,1994,2.385784554871795
4,Europa,1995,2.170112991076923
4,Europa,1996,1.3247408656410256
4,Europa,1997,1.497715424102564
4,Europa,1998,1.6362387223076924
4,Europa,1999,2.17545392
4,Europa,2000,1.9007711002564103
4,Europa,2001,1.4704694147435897
4,Europa,2002,0.9786133279487179
4,Europa,2003,0.6525712074358974
4,Europa,2004,0.5619449071794872
4,Europa,2005,0.7941988145128206
4,Europa,2006,0.5765927035897436
4,Europa,2007,0.26804674307692306
4,Europa,2008,0.22497137179487178
4,Europa,2009,0.5556846241025641
4,Europa,2010,0.612759921948718
4,Europa,2011,0.6009639942564102
4,Europa,2012,0.7082791944871795
4,Europa,2013,0.529896574948718
4,Europa,2014,0.8303721131282051
4,Europa,2015,0.7051557253589744
4,Europa,2016,0.7277158914871795
4,Europa,2017,0.7164362956410256
4,Europa,2018,0.46680376353846154
4,Europa,2019,0.440596735025641
6,Oceanía,1984,18.261847875
6,Oceanía,1985,18.836191375
6,Oceanía,1986,18.7809023625
6,Oceanía,1987,19.2909947625
6,Oceanía,1988,19.5250676625
6,Oceanía,1989,19.581158062500002
6,Oceanía,1990,19.641962387499998
6,Oceanía,1991,19.210371950000003
6,Oceanía,1992,18.073095525
6,Oceanía,1993,17.138481475
6,Oceanía,1994,16.320457174999998
6,Oceanía,1995,16.146868375
6,Oceanía,1996,15.585447225000001
6,Oceanía,1997,16.065293825
6,Oceanía,1998,16.143303875
6,Oceanía,1999,16.1468070375
6,Oceanía,2000,17.054486700000002
6,Oceanía,2001,18.0781759875
6,Oceanía,2002,18.891871475000002
6,Oceanía,2003,18.1504133375
6,Oceanía,2004,16.7865116125
6,Oceanía,2005,16.1643015
6,Oceanía,2006,15.3759784
6,Oceanía,2007,14.6311340125
6,Oceanía,2008,14.25722825
6,Oceanía,2009,13.751050425
6,Oceanía,2010,12.632681175
6,Oceanía,2011,12.0921624875
6,Oceanía,2012,11.760085587499999
6,Oceanía,2013,11.2895108625
6,Oceanía,2014,10.6758772125
6,Oceanía,2015,10.6722681375
6,Oceanía,2016,10.0648251
6,Oceanía,2017,9.69410725
6,Oceanía,2018,9.6911283125
6,Oceanía,2019,9.52558975
5,Guatemala,1984,47.037209999999995
5,Guatemala,1985,48.24446
5,Guatemala,1986,48.99994
5,Guatemala,1987,44.38662
5,Guatemala,1988,36.51084
5,Guatemala,1989,36.258
5,Guatemala,1990,34.29845
5,Guatemala,1991,33.35452
5,Guatemala,1992,29.58965
5,Guatemala,1993,26.53607
5,Guatemala,1994,23.00986
5,Guatemala,1995,19.41241
5,Guatemala,1996,18.22931
5,Guatemala,1997,15.99443
5,Guatemala,1998,13.49084
5,Guatemala,1999,11.20715
5,Guatemala,2000,9.302499
5,Guatemala,2001,9.682711
5,Guatemala,2002,10.00743
5,Guatemala,2003,10.35309
5,Guatemala,2004,10.64788
5,Guatemala,2005,10.95304
5,Guatemala,2006,11.15664
5,Guatemala,2007,10.6301
5,Guatemala,2008,10.20751
5,Guatemala,2009,10.76584
5,Guatemala,2010,10.46686
5,Guatemala,2011,10.17743
5,Guatemala,2012,9.813117
5,Guatemala,2013,9.55372
5,Guatemala,2014,8.778929
5,Guatemala,2015,8.067617
5,Guatemala,2016,7.613339999999999
5,Guatemala,2017,7.409486999999999
5,Guatemala,2018,7.1654729999999995
5,Guatemala,2019,6.639548
